domain,batch,placed_company,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary
Web Development Using Python Django,BCK15,YouGotaGift Pvt. Ltd.,Member of Technical Staff,22.0,Degree,Yes,No,13.0,Yes,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.12
MERN Stack,BCE18,Alignminds Technology,Software Engineer Trainee,23.0,No Degree,Yes,No,11.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.2
Web Development Using Python Django,BCK15,YouGotaGift Pvt. Ltd.,Member of Technical Staff,21.0,No Degree,Yes,No,14.0,Yes,5.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.5
Mobile Development Using Swift,BCE12,Chillar Payment Solutions,iOS Developer,23.0,No Degree,No,No,12.0,No,0.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
Web Development Using Python Django,BCE11,Net Sentries,Back End Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
MERN Stack,BCE18,Trois Infotech,Associate Software Engineer,21.0,Degree,Yes,No,10.0,No,4.0,Nagercoil ,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.9
MERN Stack,BCE17,Inhabyt Technologies,Full Stack Developer,22.0,Degree,No,No,13.0,Yes,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.0
MERN Stack,BCE14,Elixia Tech,Software Developer,22.0,No Degree,Yes,No,9.0,No,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,8.0
Web Development Using Python Django,BCE16,Net Sentries,Associate Full Stack Developer,22.0,No Degree,Yes,No,10.0,No,4.0,WFH,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,6.0
Mobile Development Using Flutter,BCE16,Marketfeed,Software Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Dart,Api integration,",Yes,6.0
MERN Stack,BCE18,Paripoorna Software Solutions,Trainee-Software Engineer,22.0,Degree,No,No,9.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCE16,Paripoorna Software Solutions,Software Engineer,22.0,No Degree,Yes,No,7.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
DevOps,BCK15,Accubits,Devops Engineer,21.0,Degree,No,No,16.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.4
MERN Stack,BCK15,Matajar E Commerce LLP,Junior Back end Developer,21.0,Degree,Yes,No,15.0,Yes,2.0,Manjeri Malappuram ,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,8.6
Mobile Development Using Flutter,BCE16,Quiz ole,Flutter Developer,22.0,No Degree,Yes,No,10.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.4
MERN Stack,BCK15,Xcitech Technologies,MERN Stack Developer,22.0,Degree,Yes,No,12.0,No,2.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,7.4
MERN Stack,BCE14,Unbox,Front End Developer,22.0,Degree,Yes,No,10.0,Yes,3.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.4
MERN Stack,BCE17,CS Tech Info Solutions,Full Stack Developer,22.0,Degree,Yes,No,14.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.4
Mobile Development Using Android Kotlin,BCK15,Gaian Solutions,Associate Android Developer,21.0,No Degree,Yes,No,12.0,Yes,5.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Blockchain,BCK15,Matic Network India,Block Chain Developer Intern,22.0,No Degree,Yes,No,14.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,2.7
Web Development Using Python Django,BCE16,Alignminds Technology,Trainee-Software Engineer,22.0,Degree,Yes,No,9.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",No,4.8
MERN Stack,BCE18,Chalo Exam,App Developer,22.0,No Degree,No,No,10.0,No,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.4
MERN Stack,BCK15,Fingent Global Solutions Pvt. Ltd.,Junior Software Engineer,22.0,No Degree,Yes,No,13.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
Mobile Development Using Flutter,BCE17,F12 Technologies,Junior Software Engineer,23.0,No Degree,No,No,11.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCE20,Blue Compute India,Full Stack Developer,23.0,No Degree,No,No,16.0,Yes,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
Cybersecurity,BCK15,Krishagni Solutions,Intern - Member Of Technical Staff,22.0,No Degree,Yes,No,12.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,1.8
MERN Stack,BCE17,CIED Technologies,Junior Back end Developer,22.0,Degree,No,No,13.0,Yes,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
MERN Stack,BCE21,3 Nets.inc,Front End Developer,21.0,Degree,Yes,No,10.0,No,4.0,Manjeri Malappuram ,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
MERN Stack,BCE20,Applaunch,Node JS Developer,22.0,No Degree,Yes,No,8.0,Yes,2.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.4
Mobile Development Using Flutter,BCE17,Octavision ,Associate Software Developer,22.0,Degree,Yes,No,8.0,No,5.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
MERN Stack,BCE17,Foonza Media Pvt Ltd,Full Stack Developer,22.0,No Degree,No,No,12.0,No,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
Machine Learning,BCE17,Net Sentries,Back End Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
Mobile Development Using Flutter,BCE20,Acabes International Pvt Ltd,Technology Associate,22.0,No Degree,No,No,10.0,No,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.7
Web Development Using Python Django,BCE20,Acabes International Pvt Ltd,Technology Associate,25.0,Degree,No,Yes [ Non IT industry ],14.0,Yes,1.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.7
MERN Stack,BCE18,Load Runnr ,MERN Stack Developer,23.0,No Degree,Yes,No,9.0,No,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
Machine Learning,BCE17,Carbon Bae,Django Developer ,22.0,Degree,Yes,No,9.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCE18,Bluestream Software Solutions (OPC) PVT LTD,Full Stack Developer,21.0,No Degree,Yes,No,10.0,No,7.0,On site,"Html, Css, Javascript, Node.Js,Mongo db, Redux, React. Js, React Neative",Yes,4.5
MERN Stack,BCE20,HNR Tech,Node js Developer,21.0,Degree,Yes,No,9.0,No,4.0,Chennai,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,5.0
Mobile Development Using Flutter,BCE20,Surya Software Systems,Software Development Engineer I,22.0,No Degree,No,No,11.0,No,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.0
MERN Stack,BCE17,CES IT,Associate Software Engineer,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.5
MERN Stack,BCE18,CES IT,Associate Software Technologist,22.0,Degree,Yes,No,9.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,6.5
MERN Stack,BCE18,Neutrinos,Associate Product Engineer,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,6.5
Mobile Development Using Flutter,BCE20,Load Runnr ,Flutter Developer Intern,22.0,No Degree,No,No,13.0,Yes,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCE18,Key value Systems,Software Developer Trainee,24.0,No Degree,No,No,11.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,7.5
MERN Stack,BCE18,Load Runnr ,Mern developer,23.0,No Degree,Yes,No,9.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCE17,Octavision ,Associate Software Developer,21.0,Degree,Yes,No,10.0,No,4.0,On site,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,5.5
MERN Stack,BCE18,Neutrinos,Associate Software Engineer,21.0,Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.5
MERN Stack,BCK19,Fingent Global Solutions Pvt. Ltd.,Junior Front End Developer,21.0,Degree,Yes,No,10.0,No,4.0,Calicut ,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,4.8
MERN Stack,BCE18,Desk Day,Node Js Developer,21.0,Degree,Yes,No,10.0,No,4.0,Chennai,"React, Node, Html, CSS, Mongodb",Yes,6.0
MERN Stack,BCK19,Elixia Tech,Software Developer,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"React,node js , nest js , express js , jest,go etc",Yes,6.5
MERN Stack,BCK19,Elixia Tech,Software Developer,22.0,No Degree,Yes,No,7.0,Yes,7.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,8.0
MERN Stack,BCE20,Freston Analytics,React Developer,21.0,Degree,Yes,No,10.0,No,4.0,Chennai,"React js ,React query",Yes,4.8
MERN Stack,BCE21,Pocketlite,Full Stack Developer,22.0,Degree,No,No,12.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
Web Development Using Python Django + React,BCE18,Vitright Technologies,Software Engineer,23.0,No Degree,Yes,No,10.0,Yes,4.0,Manjeri Malappuram ,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,5.5
MERN Stack,BCE18,CES IT,Associate Software Technologist,21.0,Degree,Yes,No,9.0,No,7.0,On site,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,6.5
MERN Stack,BCE22,Krishworks,System Software Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,8.12
Web Development Using Python Django,BCE18,East Vantage,Python developer,23.0,Degree,Yes,No,10.0,No,2.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,10.0
Mobile Development Using Flutter,BCE21,Zero Pay,Software Developer Intern,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,7.0
Mobile Development Using Flutter,BCE17,Flotila Technologies,Software Developer,21.0,No Degree,No,No,10.0,No,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.0
Mobile Development Using Flutter,BCK19,Hypebrands,Flutter Deevloper,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCE18,Upstyle Buisness,Full Stack Developer,22.0,No Degree,Yes,No,10.0,Yes,5.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.4
Mobile Development Using Flutter,BCK19,Baliza,Software Engineer,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
Web Development Using Python Django,BCE18,PeerXP,Python Django Developer,22.0,Degree,Yes,No,10.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Mobile Development Using Android Kotlin,BCE18,Genxlead Retail Pvt Ltd,Android Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,8.6
Mobile Development Using Android Kotlin,BCE18,Matajar E Commerce LLP,Android Officer,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,10.0
Mobile Development Using Flutter,BCE20,Cloud IQ,Software Design Engiineer,22.0,No Degree,Yes,No,7.0,Yes,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
Mobile Development Using Flutter,BCE18,Metric Tree Labs,Software Engineer,22.0,No Degree,No,No,11.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
Mobile Development Using Flutter,BCE20,Conzura Soft Solutions,Mobile Application Developer,23.0,No Degree,No,No,13.0,Yes,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Frontend Development Using React,BCE22,Softlet Pvt Ltd,React Js Developer,22.0,No Degree,No,No,12.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Web Development Using Python Django,BCK15,Ecesis Care Pvt Ltd,Junior Software Developer,19.0,No Degree,No,No,16.0,Yes,7.0,Calicut ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.2
MERN Stack,BCE17,Zuper Soft Solutions,Software Engineer,21.0,Degree,Yes,No,10.0,No,4.0,Nagercoil ,"React js ,React query",Yes,5.4
MERN Stack,BCE17,Fingent Global Solutions Pvt. Ltd.,Junior Software Engineer,21.0,Degree,Yes,No,9.0,Yes,4.0,Hyderabad,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,4.8
MERN Stack,BCE20,Embifi Global Solutions,Full Stack Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,8.5
Mobile Development Using Flutter,BCE21,Axolon,Flutter Developer,22.0,Degree,No,No,9.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.8
Mobile Development Using Flutter,BCE20,Hypebrands,Flutter Developer,21.0,No Degree,Yes,No,8.0,Yes,4.0,Manjeri Malappuram ,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,4.5
Cybersecurity,BCE21,Tata Elxsi,Engineer,22.0,Degree,No,No,10.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.5
Mobile Development Using Flutter,BCE18,Nectar IT,Software Engineer,22.0,No Degree,Yes,No,9.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
Web Development Using Python Django,BCE20,Bima Mandi,Python Developer,22.0,No Degree,Yes,No,11.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Cybersecurity,BCE22,Secure Traces,Soc Analyst,22.0,Degree,Yes,No,12.0,Yes,2.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.5
Mobile Development Using Flutter,BCE22,Alternativ Tech Lab Private Limited,Flutter Developer,23.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,6.0
MERN Stack,BCE20,Indiacashback ,Full Stack Developer,22.0,No Degree,No,No,11.0,No,5.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
MERN Stack,BCE20,Spericorn Technology Pvt. Ltd.,Software Developer,22.0,Degree,Yes,No,9.0,Yes,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.0
MERN Stack,BCE22,Vorps Technology ,Backend Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
Mobile Development Using Android Kotlin,BCE23,Creace Technologies,Junior Software Engineer (Android),22.0,No Degree,No,No,14.0,Yes,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
Mobile Development Using Flutter,BCE21,Maison D' Auraine,Flutter Developer,22.0,Degree,Yes,No,7.0,No,7.0,Manjeri Malappuram ,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
MERN Stack,BCE20,Edvak Pvt Ltd.,Trainee Software Engineer,22.0,Degree,No,No,10.0,No,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.2
MERN Stack,BCE20,Edvak Pvt Ltd.,Trainee Software Engineer,23.0,No Degree,Yes,No,7.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.2
MERN Stack,BCE20,Octavision ,Full Stack Developer ,23.0,Degree,Yes,No,9.0,No,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCE23,FlexM Pvt. Ltd.,Full Stack Developer,22.0,Degree,Yes,No,12.0,Yes,2.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Web Development Using Python Django + React,BCE20,Bask Creative,Full Stack Developer,22.0,Degree,Yes,No,12.0,Yes,1.0,Manjeri,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,5.5
MERN Stack,BCE22,BeneathATree,Full Stack Developer,23.0,Degree,Yes,No,9.0,Yes,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Mobile Development Using Flutter,BCE22,BOSC Tech Labs,Software Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"Dart,Api integration,",Yes,6.0
Web Development Using Python Django,BCK19,AdroitMinds Software Labs,Trainee Software Engineer,22.0,No Degree,No,No,10.0,Yes,5.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
MERN Stack,BCE23,Bytestrone ,Junior Software Developer,23.0,No Degree,No,No,12.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.5
Mobile Development Using Flutter,BCE21,Real-time Innovations ,Software Developer,22.0,No Degree,Yes,No,7.0,Yes,5.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
Mobile Development Using Flutter,BCE23,BOSC Tech Labs,Software Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"Dart,Api integration,",Yes,6.0
MERN Stack,BCE22,Alignminds Technology,Trainee Software Engineer,24.0,No Degree,No,Yes [ Non IT industry ],13.0,Yes,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
Mobile Development Using Flutter,BCE21,Unvired INC,Software Developer,22.0,Degree,No,No,12.0,Yes,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.3
Web Development Using Python Django,BCE21,Website Dokan,Full Stack Developer,23.0,Degree,Yes,No,10.0,Yes,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
Mobile Development Using Flutter,BCE22,Website Dokan,Junior Developer,23.0,No Degree,No,No,15.0,Yes,7.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.0
Mobile Development Using Flutter,BCE22,NowApp Tech Pvt Ltd,Flutter Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,5.5
MERN Stack,BCE25,Staxlabs Inc Pvt Ltd,Full Stack Developer,22.0,Degree,Yes,No,10.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
Mobile Development Using Flutter,BCE23,White Rabbit Labs,Trainee Software Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Dart,Api integration,",Yes,5.5
MERN Stack,BCE23,Tapclone,Full Stack Developer,22.0,No Degree,No,No,15.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
Mobile Development Using Flutter,BCE22,White Rabbit Labs,Trainee Software Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Dart,Api integration,",Yes,5.5
Web Development Using Python Django,BCE20,YouGotaGift Pvt. Ltd.,Web developer ,22.0,No Degree,No,No,10.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.12
MERN Stack,BCE22,Weblight solutions ,Full Stack developer,22.0,No Degree,Yes,No,13.0,Yes,7.0,Manjeri Malappuram ,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,4.0
MERN Stack,BCE23,Kodsmith pvt ltd,Full Stack developer,21.0,Degree,No,No,10.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
Web Development Using Python Django,BCE20,CloudVice,Full Stack developer,23.0,No Degree,No,No,9.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.8
Mobile Development Using Flutter,BCE22,SciWiz Innovations Pvt. Ltd.,Flutter Developer,22.0,Degree,No,No,10.0,No,1.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
MERN Stack,BCE20,Markspot,Jr. Software Engineer,22.0,No Degree,No,No,10.0,No,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
Mobile Development Using Flutter,BCE23,A S Designs,Junior Flutter Developer,22.0,Degree,No,No,12.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,2.76
MERN Stack,BCE23,Armia Systems Pvt Ltd,Jr. Software Engineer,22.0,Degree,Yes,No,13.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.5
MERN Stack,BCE23,Armia Systems Pvt Ltd,Jr. Software Engineer,22.0,Degree,No,No,9.0,Yes,4.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.5
MERN Stack,BCE23,Armia Systems Pvt Ltd,Jr. Software Engineer,22.0,No Degree,No,No,10.0,No,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.5
Mobile Development Using Flutter,BCE22,ProPlus Logics Solution Pvt Ltd,Full Stack developer,22.0,No Degree,Yes,No,7.0,Yes,4.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Mobile Development Using Flutter,BCE25,Chalo Exam,Frontend Developer,22.0,No Degree,No,No,7.0,Yes,7.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
MERN Stack,BCE18,Techlego,Junior Developer,22.0,Degree,Yes,No,12.0,Yes,4.0,Ernakulam,"React,Python,SQL,Django,Html,Css",Yes,4.0
Web Development Using Python Django + React,BCE21,Algo IT Solutions,Full-stack developer,23.0,No Degree,No,No,10.0,Yes,4.0,Manjeri Malappuram ,"React, Node, Html, CSS, Mongodb",Yes,2.4
Web Development Using Python Django,BCE20,Eduport Academic Research Center Pvt Ltd,Full-stack developer,22.0,Degree,No,No,11.0,Yes,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
Game development using Unity,BCK26,Hopscotch Games,Unity 3D Developer,26.0,Degree,No,No,12.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.2
Mobile Development Using Flutter,BCE23,Bitroot,Flutter Developer,22.0,No Degree,Yes,No,9.0,Yes,7.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
MEAN Stack,BCE25,Aequalis Software Solutions Pvt Ltd,Angular Developer,23.0,No Degree,No,No,12.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Mobile Development Using Flutter,BCE21,Dotstaxi,Flutter Developer ,23.0,No Degree,No,No,12.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Mobile Development Using Flutter,BCE25,Aslan & Simba Technologies Pvt Ltd (Orazo),Mobile Application Developer Flutter,21.0,Degree,Yes,No,10.0,No,1.0,Nagercoil ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.11
